taxon,lineage,probability,pangoLEARN_version,status,note
MG0987,B.1,1.0,2021-04-01,passed_qc,
PC00101P,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0007-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0016-SAN,B,1.0,2021-04-01,passed_qc,
SEARCH-0017-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0032-JOR,B.1.319,1.0,2021-04-01,passed_qc,
SEARCH-0033-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0034-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0035-JOR,B.35,1.0,2021-04-01,passed_qc,
SEARCH-0036-JOR,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0037-JOR,B.28,1.0,2021-04-01,passed_qc,
SEARCH-0039-JOR,A.5,1.0,2021-04-01,passed_qc,
SEARCH-0041-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0042-JOR,B.35,1.0,2021-04-01,passed_qc,
SEARCH-0043-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0044-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0045-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0046-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0047-JOR,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0048-JOR,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0049-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0051-JOR,B.28,1.0,2021-04-01,passed_qc,
SEARCH-0052-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0053-JOR,B.35,1.0,2021-04-01,passed_qc,
SEARCH-0054-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0055-JOR,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0056-JOR,B.28,1.0,2021-04-01,passed_qc,
SEARCH-0057-JOR,B.28,1.0,2021-04-01,passed_qc,
SEARCH-0058-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0059-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0060-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0063-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0064-NBG,B.1.577,1.0,2021-04-01,passed_qc,
SEARCH-0065-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0066-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0067-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0068-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0069-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0070-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0071-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0072-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0075-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0076-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0077-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0078-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0084-JOR,B.40,1.0,2021-04-01,passed_qc,
SEARCH-0094-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0095-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0096-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0097-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0098-SAN,B.1.314,1.0,2021-04-01,passed_qc,
SEARCH-0099-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0100-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0103-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0104-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0106-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0107-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0108-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0111-SAN,B.1.586,1.0,2021-04-01,passed_qc,
SEARCH-0113-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0114-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0115-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0116-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0117-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0118-SAN,B.4,1.0,2021-04-01,passed_qc,
SEARCH-0119-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0120-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0121-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0122-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0128-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0130-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0132-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0135-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0136-SAN,B.1.314,1.0,2021-04-01,passed_qc,
SEARCH-0140-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0141-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0142-NBG,B.1.577,1.0,2021-04-01,passed_qc,
SEARCH-0143-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0144-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0145-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0146-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0147-NBG,B.1.577,1.0,2021-04-01,passed_qc,
SEARCH-0148-NBG,B.1.577,1.0,2021-04-01,passed_qc,
SEARCH-0149-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0150-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0151-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0152-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0153-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0154-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0155-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0156-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0157-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0158-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0159-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0160-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0161-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0162-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0163-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0164-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0165-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0166-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0167-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0169-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0170-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0171-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0172-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0174-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0175-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0176-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0177-SAN,B.1.110,1.0,2021-04-01,passed_qc,
SEARCH-0178-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0179-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0180-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0181-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0182-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0183-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0184-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0185-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0187-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0188-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0189-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0190-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0191-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0192-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0193-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0195-SAN,B,1.0,2021-04-01,passed_qc,
SEARCH-0197-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0198-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0199-SAN,B.4,1.0,2021-04-01,passed_qc,
SEARCH-0201-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0204-SAN,B.6,1.0,2021-04-01,passed_qc,
SEARCH-0205-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0206-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0207-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0209-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0210-NBG,B.1.450,1.0,2021-04-01,passed_qc,
SEARCH-0212-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0213-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0214-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0215-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0216-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0217-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0218-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0219-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0222-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0223-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0224-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0225-SAN,B.1.558,1.0,2021-04-01,passed_qc,
SEARCH-0228-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0230-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0231-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0232-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0233-SAN,B.1.400,1.0,2021-04-01,passed_qc,
SEARCH-0234-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0235-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0236-SAN,B.1.243,1.0,2021-04-01,passed_qc,
