taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
MG0987,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
PC00101P,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0007-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0016-SAN,B,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0017-SAN,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0032-JOR,B.1.319,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0033-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0034-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0035-JOR,B.35,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0036-JOR,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0037-JOR,B.28,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0039-JOR,A.5,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0041-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0042-JOR,B.35,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0043-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0044-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0045-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0046-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0047-JOR,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0048-JOR,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0049-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0051-JOR,B.28,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0052-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
